Metric,Value
timing__hold_vio__count__corner:max_tt_025C_5v00,0
timing__hold_r2r__ws__corner:max_tt_025C_5v00,0.743140
timing__hold_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__setup_vio__count__corner:max_tt_025C_5v00,0
timing__setup_r2r__ws__corner:max_tt_025C_5v00,19.610691
timing__setup_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__unannotated_net__count__corner:max_tt_025C_5v00,25
timing__unannotated_net_filtered__count__corner:max_tt_025C_5v00,0
design__max_slew_violation__count__corner:max_ss_125C_4v50,0
design__max_fanout_violation__count__corner:max_ss_125C_4v50,1
design__max_cap_violation__count__corner:max_ss_125C_4v50,1
clock__skew__worst_hold__corner:max_ss_125C_4v50,-0.26188771337238137
clock__skew__worst_setup__corner:max_ss_125C_4v50,0.2642947879801479
timing__hold__ws__corner:max_ss_125C_4v50,1.604662670381769
timing__setup__ws__corner:max_ss_125C_4v50,3.9095625621239187
timing__hold__tns__corner:max_ss_125C_4v50,0.0
timing__setup__tns__corner:max_ss_125C_4v50,0.0
timing__hold__wns__corner:max_ss_125C_4v50,0
timing__setup__wns__corner:max_ss_125C_4v50,0.0
timing__hold_vio__count__corner:max_ss_125C_4v50,0
timing__hold_r2r__ws__corner:max_ss_125C_4v50,1.604663
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,0
timing__setup_r2r__ws__corner:max_ss_125C_4v50,3.909563
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__unannotated_net__count__corner:max_ss_125C_4v50,25
timing__unannotated_net_filtered__count__corner:max_ss_125C_4v50,0
design__max_slew_violation__count__corner:max_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:max_ff_n40C_5v50,1
design__max_cap_violation__count__corner:max_ff_n40C_5v50,1
clock__skew__worst_hold__corner:max_ff_n40C_5v50,-0.258642253823858
clock__skew__worst_setup__corner:max_ff_n40C_5v50,0.25898225963476545
timing__hold__ws__corner:max_ff_n40C_5v50,0.3505701383970755
timing__setup__ws__corner:max_ff_n40C_5v50,26.722059987794207
timing__hold__tns__corner:max_ff_n40C_5v50,0.0
timing__setup__tns__corner:max_ff_n40C_5v50,0.0
timing__hold__wns__corner:max_ff_n40C_5v50,0
timing__setup__wns__corner:max_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:max_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:max_ff_n40C_5v50,0.350570
timing__hold_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:max_ff_n40C_5v50,26.722059
timing__setup_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count__corner:max_ff_n40C_5v50,25
timing__unannotated_net_filtered__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count,25
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_5v00,4.99881
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_5v00,4.99979
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_5v00,0.00119428
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_5v00,0.00108668
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_5v00,0.000207099
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_5v00,0.00108668
design_powergrid__voltage__worst,0.00108668
design_powergrid__voltage__worst__net:VDD,4.99881
design_powergrid__drop__worst,0.00119428
design_powergrid__drop__worst__net:VDD,0.00119428
design_powergrid__voltage__worst__net:VSS,0.00108668
design_powergrid__drop__worst__net:VSS,0.00108668
ir__voltage__worst,5
ir__drop__avg,0.000210000000000000008708311849403571613947860896587371826171875
ir__drop__worst,0.0011900000000000000854871728961370536126196384429931640625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
